round_index,mean_revenue,mean_payout,mean_burn,mean_treasury_cost,mean_carry,mean_margin_ex_burn,scenario
2,23525.5279852558,8879.145302435854,4705.105597051161,1176.2763992627902,29472.194764168675,22349.25158599301,cashback_5pct
3,23524.498548475036,12336.349815634312,6304.899709695007,9176.224927423751,42355.44378731439,14348.273621051281,cashback_5pct
4,23509.070022161573,13789.500211691686,4701.814004432315,1175.4535011080789,47373.199593351965,22333.616521053496,cashback_5pct
5,23541.23653048091,16574.833670965425,6308.247306096183,9177.061826524045,56031.35514677127,14364.174703956867,cashback_5pct
6,23521.48447592275,17137.920216195147,4704.29689518455,1176.0742237961374,57710.622511314315,22345.410252126607,cashback_5pct
7,23533.28060091581,18755.385683310556,6306.656120183163,9176.664030045791,64181.86130873641,14356.616570870017,cashback_5pct
8,23537.79099003145,20137.189460086072,6307.558198006291,9176.889549501571,69274.9046406755,14360.901440529879,cashback_5pct
9,23537.95507144447,20274.653157356763,4707.591014288894,1176.8977535722236,67830.6155404743,22361.057317872244,cashback_5pct
10,23535.094090786548,21274.74800715639,6307.018818157309,9176.754704539328,71783.94280594715,14358.33938624722,cashback_5pct
11,23525.214267786254,20798.655205399733,4705.042853557251,1176.2607133893127,69805.45901477642,22348.953554396943,cashback_5pct
12,23533.605119432297,22062.926000731983,6306.72102388646,9176.680255971614,72969.41710959027,14356.924863460683,cashback_5pct
13,23533.451123278148,21034.396735543556,4706.69022465563,1176.6725561639075,70761.78127266924,22356.77856711424,cashback_5pct
14,23538.1386882206,22257.51911511078,6307.62773764412,9176.90693441103,73734.77310813493,14361.231753809569,cashback_5pct
15,23536.41833823272,22640.507475283277,6307.283667646544,9176.820916911636,76323.40030343783,14359.597421321085,cashback_5pct
16,23516.813843515196,21983.772069783998,4703.3627687030385,1175.8406921757596,73153.07930846598,22340.973151339433,cashback_5pct
17,23553.003326016023,22553.340277834533,6310.600665203206,9177.650166300802,75842.14169144428,14375.353159715221,cashback_5pct
18,23538.290952118376,21496.054599988933,4707.658190423675,1176.9145476059186,73176.71985315005,22361.37640451246,cashback_5pct
19,23498.074388286932,22206.925200733236,6299.614877657387,9174.903719414346,76168.25416304635,14323.170668872588,cashback_5pct
20,23511.264221985322,21996.494360456712,4702.252844397064,1175.563211099266,72980.7711801779,22335.701010886056,cashback_5pct
21,23513.19292787413,22746.817779887693,6302.638585574826,9175.659646393708,75444.5077425895,14337.533281480422,cashback_5pct
22,23540.864316443884,22901.01226558678,6308.172863288777,9177.043215822194,77776.18693015783,14363.82110062169,cashback_5pct
23,23520.762810726264,22127.606168471877,4704.152562145253,1176.0381405363132,74465.19101026696,22344.72467018995,cashback_5pct
24,23519.34046724383,23210.959423635817,6303.868093448767,9175.967023362191,76469.70396042621,14343.373443881643,cashback_5pct
25,23512.779878650177,21926.423606032276,4702.555975730035,1175.6389939325088,73353.50425731407,22337.140884717668,cashback_5pct
26,23550.746396503142,22512.429463539796,6310.149279300629,9177.537319825158,76081.6719109768,14373.209076677987,cashback_5pct
27,23513.05253503974,21928.745729614362,4702.610507007948,1175.652626751987,72963.36820939422,22337.399908287756,cashback_5pct
28,23534.214382428094,22589.814324536874,6306.84287648562,9176.710719121404,75600.92539079982,14357.50366330669,cashback_5pct
29,23536.780871148894,23026.581863644096,6307.356174229779,9176.839043557444,77803.76822407484,14359.94182759145,cashback_5pct
30,23519.70373995277,21819.996472263174,4703.940747990554,1175.9851869976385,74799.5347437739,22343.71855295513,cashback_5pct
31,23527.154932380312,22870.558164863753,6305.430986476063,9176.357746619016,77150.70052481438,14350.797185761296,cashback_5pct
32,23533.952913276098,22071.214653833147,4706.79058265522,1176.6976456638051,73906.64820160212,22357.255267612294,cashback_5pct
33,23525.666245249733,22492.770800993123,6305.133249049946,9176.283312262487,76634.41039680877,14349.382932987246,cashback_5pct
34,23524.38271451361,21783.42005566257,4704.876542902722,1176.2191357256804,73670.49651275709,22348.16357878793,cashback_5pct
35,23541.74657707484,22110.110122036145,6308.349315414967,9177.08732885374,76793.78365238081,14364.659248221094,cashback_5pct
36,23536.531549589858,23059.35327541744,6307.306309917972,9176.826577479493,78963.65561663527,14359.704972110365,cashback_5pct
37,23551.242273124048,22192.109246825537,4710.24845462481,1177.5621136562024,75612.54018830895,22373.680159467847,cashback_5pct
38,23526.421065127393,23085.57214120544,6305.284213025479,9176.32105325637,77748.10489920543,14350.100011871027,cashback_5pct
39,23530.300043426985,22143.065471776757,4706.060008685397,1176.5150021713494,74429.27946217026,22353.785041255633,cashback_5pct
40,23516.57022203491,22716.06041123295,6303.314044406982,9175.828511101745,76926.47522856525,14340.741710933162,cashback_5pct
41,23521.419946194823,22044.908827102514,4704.283989238965,1176.0709973097414,73698.70235841858,22345.348948885083,cashback_5pct
42,23537.014806787447,22632.70858703143,6307.402961357489,9176.850740339372,76295.60561681712,14360.164066448075,cashback_5pct
43,23531.62480813056,22925.098335805527,6306.324961626112,9176.581240406527,78595.80712751603,14355.043567724031,cashback_5pct
44,23538.512566673428,22069.64590736268,4707.702513334686,1176.9256283336715,75356.9712734921,22361.586938339755,cashback_5pct
